Search_Keyword_for_job,URL,Job_Posted_Date,Position,Company,Job_Location,Job_Location_Type,Salary_Range,Job_Type,Job_Description
Data Engineer,https://indeed.com/viewjob?jk=a9322d3cbb5f67e4,7/25/2023,Software Engineer II  Frontend  Data UI (Remote),Splunk,Remote,,$95 200 - $130 900 a year,Full-time,Do you have a passion for building complex but intuitive components and frameworks using JavaScript technologies like React? Do you take pride in the quality of your code and constantly drive towards best engineering practices? Do you want to be part of a fun  collaborative  agile development team that continuously delivers high-quality  high-visibility products? At Splunk  we are passionate about our work  seek to deliver the best experience to our customers  like to have fun  and are committed to each other’s success. Join us in our mission to accelerate and scale frontend development in Splunk with highly configurable frameworks and libraries. Our product  Splunk UI Toolkit (SUIT)  enables internal and external teams to build faster with consistent and reusable experiences. SUIT is used by Splunk products such as Dashboard Studio  Enterprise Security  and ITSI  etc. They are also used by customers to build applications that address needs not met by out of the box solutions. We are seeking an exceptional Software Engineer to join our team and help shape the future of the Splunk UI Toolkit. Requirements: 1 to 3 years of meaningful industry experience Experience with JavaScript/TypeScript  HTML and CSS Knowledge of modern JavaScript frameworks such as React Exposure to CI/CD and modern JavaScript testing methodologies Comfortable collaborating with product management  design  and cross-functional engineering teams to maximize customer usability and contribute as a true team player Ability to learn new technologies quickly Strong communication skills  both verbal and written BS/BA CS/EE or equivalent experience Nice to have: Experience in open-source projects  We value diversity at our company. All qualified applicants will receive consideration for employment without regard to race  color  religion  sex  sexual orientation  gender identity  national origin  or any other applicable legally protected characteristics in the location in which the candidate is applying. Note: Splunk provides flexibility and choice in the working arrangement for most roles  including remote and/or in-office roles. We have a market-based pay structure which varies by location. Please note that the base pay range is a guideline and for candidates who receive an offer  the base pay will vary based on factors such as work location as set out below  as well as the knowledge  skills and experience of the candidate. In addition to base pay  this role is eligible for incentive compensation and may be eligible for equity or long-term cash awards. Benefits are an important part of Splunk's Total Rewards package. This role is eligible for a competitive benefits package which includes medical  dental  vision  a 401(k) plan and match  paid time off  an ESPP and much more! Learn more about our comprehensive benefits and wellbeing offering at https://splunkbenefits.com. SF Bay Area  Seattle Metro  and New York City Metro Area Base Pay Range: $114 400.00 - 157 300.00 per year California (excludes SF Bay Area)  Washington (excludes Seattle Metro)  Washington DC Metro  and Massachusetts Base Pay Range: $104 000.00 - 143 000.00 per year All other cities and states excluding California  Washington  Massachusetts  New York City Metro Area and Washington DC Metro Area. Base Pay Range: $95 200.00 - 130 900.00 per year
Data Engineer,https://indeed.com/viewjob?jk=c322f3a545e6edaa,7/25/2023,Cloud Data Engineer,OneMagnify,Dearborn  MI,,Estimated $106K - $135K a year,Full-time,
Data Engineer,https://indeed.com/viewjob?jk=b25fae4bad850a34,7/25/2023,Data Engineer - Alaska Airlines,Photon,Washington State,,Estimated $106K - $135K a year,Full-time,Greetings Everyone  Who are we?  For the past 20 years  we have powered many Digital Experiences for the Fortune 500. Since 1999  we have grown from a few people to more than 4000 team members across the globe that are engaged in various Digital Modernization. For a brief 1 minute video about us  you can check  https://youtu.be/uJWBWQZEA6o  .  What will you do?  What are we looking for?  Data Engineer  Collaborate with stakeholders to understand data requirements and design scalable and efficient data models  schemas  and architectures on the Azure platform.  Develop and implement data integration and ETL (Extract  Transform  Load) processes to ingest  transform  and load data from various sources into Azure data storage systems.  Build and maintain scalable and reliable data pipelines using Azure Data Factory  Azure Databricks  or similar tools to automate the movement and transformation of data.  Optimize data storage and retrieval mechanisms  ensuring high data availability  fault tolerance  and efficient query performance.  Monitor and troubleshoot data pipelines  identifying and resolving performance issues  data quality problems  and data integration challenges.  Collaborate with data scientists and analysts to provide them with access to reliable and well-structured data sets for analysis and reporting purposes.  Implement data governance and security measures to protect sensitive data  ensure compliance with regulatory standards  and adhere to data privacy policies.  Work closely with the DevOps team to automate deployment processes  ensure continuous integration and delivery of data solutions  and maintain infrastructure as code.  Stay updated with the latest advancements in Azure data services  evaluate and implement new tools and features to enhance data engineering processes.   Bachelor's degree in Computer Science  Information Technology  or a related field. A master's degree is a plus.  Proven experience as a Data Engineer  with a strong focus on Azure cloud platform.  In-depth knowledge of Azure data services such as Azure Data Factory  Azure Databricks  Azure Synapse Analytics  Azure SQL Database  Azure Data Lake Storage  and Azure Cosmos DB.  Proficiency in designing and implementing scalable data models  data warehouses  and data lakes.  Strong understanding of ETL processes  data integration patterns  and data transformation techniques.  Experience with programming languages such as Python  SQL  and PowerShell for data manipulation  scripting  and automation.  Familiarity with big data technologies and frameworks like Hadoop  Spark  and NoSQL databases is a plus.  Strong analytical and problem-solving skills  with the ability to troubleshoot and optimize data pipelines.  Excellent communication and collaboration skills to work effectively in a team environment and interact with stakeholders from various disciplines.
Data Engineer,https://indeed.com/viewjob?jk=8dc1503a5d87e416,7/25/2023,Data Engineer,ThreeFlow,Chicago  IL,Remote,Estimated $109K - $138K a year,Full-time,ThreeFlow is looking for results-driven teammates who are eager to solve problems and question the status quo. We cultivate an inclusive culture where everyone can contribute  grow  feel valued  and make an impact. We're excited to add an experienced Data Engineer to join our Data & Analytics Engineering team. You will be responsible for expanding and optimizing our data and data pipeline architecture  as well as optimizing data flow and collection for cross-functional teams. You will support our software developers  data analysts  and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects. Our tech stack is dbt  Postgresql  BigQuery  and Stitch Data  and our work is managed and delivered through agile methodologies. We are a fully distributed team.
Data Engineer,https://indeed.com/viewjob?jk=c16ccdc7057cafcd,7/25/2023,Data Engineer I,CSX,Jacksonville  FL,,Estimated $78K - $98.7K a year,Full-time,                                               
Data Engineer,https://indeed.com/viewjob?jk=6906be3d7b2b982f,7/23/2023,Data Center Engineer,AAA Texas,1225 Freeport Parkway  Coppell  TX 75019,,Estimated $87.2K - $110K a year,Full-time,"As our Data Center Engineer  you'll assess  plan  organize  and manage Data Center installation standards for AAA Auto Club Enterprises Data Centers.  Maintain Data Centers according to standards and requirements. Implement infrastructure solutions  including hands-on engineering assistance  and work with industry manufacturers to analyze emerging Data Center Infrastructure Technologies and provide recommendations.  Coordinate efforts with facilities and contractors in support of critical infrastructure and environmental controls of the data centers.   Maintain data centers according to standards.  Supervise contractors who perform servicing or preventative maintenance.  Troubleshoot Facility and rack-level events.  Equipment installation and decommissioning planning.  Cabinet/rack/floor capacity and inventory planning.  Assist and advise engineers and contractors regarding data center standards.  Manage data center standards to maintain accuracy and relevance.  Manage and maintain the infrastructure DCIM tool.  Provide support in data center infrastructure planning and research.  Ensure compliance with Change Management Standards.  Coordinate data center facility requirements with Facility engineers.  Physical intervention such as lifting  carrying  shifts longer than eight hours  etc.   Familiarity with Cisco networking.  Knowledge of cabling technologies  including CAT6  CAT6e  Single Mode  and Multi-mode.  Conceptual understanding of IP networking and basic network troubleshooting skills.  Working knowledge of Schneider/APC cabinet and racking systems and components.  Knowledge of data center power systems  including redundant systems.  Experience with Cable Management best practices.  Understanding of system architectures and design.  Preferred experience in network diagramming and documentation.  Familiarity with Club deployment practices and standards a plus.  #LI-RA1    AAA Texas is part of the largest federation of AAA clubs in the nation. We have 14 000 employees in 21 states helping 17 million members. The strength of our organization is our employees. Bringing together and supporting different cultures  backgrounds  personalities  and strengths creates a team capable of delivering legendary  lifetime service to our members. When we embrace our diversity – we win. All of Us! With our national brand recognition  long-standing reputation since 1902  and constantly growing membership  we are seeking career-minded  service-driven professionals to join our team  ""Through dedicated employees we proudly deliver legendary service and beneficial products that provide members peace of mind and value.”  AAA is an Equal Opportunity Employer"
Data Engineer,https://indeed.com/viewjob?jk=b85e731bb4bed8e9,7/25/2023,Research Data Engineer,UNC Charlotte,9201 University City Blvd  Charlotte  NC 28223,,Estimated $87.2K - $110K a year,Full-time,
Data Engineer,https://indeed.com/viewjob?jk=3ac8143d8ce91259,7/25/2023,Data Engineer,Booz Allen Hamilton,Bethesda  MD,Hybrid remote,Estimated $87.2K - $110K a year,Full-time,
Data Engineer,https://indeed.com/viewjob?jk=38d530c3ca813f0e,7/24/2023,Data Engineer,Michigan Health Information Network,Remote,,Estimated $87.2K - $110K a year,Full-time, Within the Reporting and Analytics team  the Data Engineer (DE) will liaise with the Cloud DBA and the Infrastructure team. The DE shall work with constructs available within database platforms (managed by Infrastructure) to support analytics and reporting-specific needs. The DE shall implement methods to improve data reliability and quality  combining raw information from various sources to create consistent and machine-readable formats. The DE shall also develop and test architectures that enable data extraction and transformation for predictive or prescriptive modeling. At MiHIN  we recognize that our diversity is our greatest strength. We draw on the differences in who we are  what we've experienced  and how we think to serve our stakeholders and communities best. Because our family of companies serves everyone  we believe in including everyone. This means we strive to hire the most talented and qualified employees that are diverse in thinking and by race  gender  gender identity  gender expression  age  religion  sexual orientation  physical abilities  and socio-economic upbringing.  Work as a team member in the Reporting and Analytics department  collaborating with Data and Reporting Analysts to:  :  May supervise an intern
Data Engineer,https://indeed.com/viewjob?jk=befa8d89b084a68a,7/25/2023,Senior Data Engineer,Reify Health,Remote,,Estimated $87.2K - $110K a year,Full-time,Our unique  rapidly growing data streams are enabling novel opportunities to manage clinical trials more efficiently and predictably. The Data Engineering team is looking for talented  to build  expand  and support a cutting-edge data architecture which is the analytical backbone of our company. If you are empathetic  business-driven  and want to use your data engineering and data architecture skills to make a tangible impact in the clinical research community then this may be the role for you. We're looking for people who can effectively balance rapid execution and delivery with sustainable and scalable architectural initiatives to serve the business most effectively. You have strong opinions  weakly held  and while well-versed technically know when to choose the right tool  for the right job  at the right level of complexity. You will work closely with the rest of our Data Engineering team and our Data Science teams to help collect  stream  transform  and effectively manage data for integration into critical reporting  data visualizations  and ModelOps systems for emerging data science products.
